week,keep_cup_index,reusable_coffee_cup_index
2012-09-02,8,3
2012-09-09,9,2
2012-09-16,7,1
2012-09-23,8,0
2012-09-30,6,0
2012-10-07,8,2
2012-10-14,12,1
2012-10-21,10,1
2012-10-28,10,2
2012-11-04,9,2
2012-11-11,8,5
2012-11-18,7,0
2012-11-25,9,1
2012-12-02,6,3
2012-12-09,9,1
2012-12-16,13,2
2012-12-23,7,2
2012-12-30,7,2
2013-01-06,11,1
2013-01-13,9,1
2013-01-20,7,3
2013-01-27,6,1
2013-02-03,7,3
2013-02-10,8,1
2013-02-17,11,2
2013-02-24,6,1
2013-03-03,16,2
2013-03-10,11,2
2013-03-17,4,1
2013-03-24,7,3
2013-03-31,7,1
2013-04-07,6,2
2013-04-14,7,1
2013-04-21,10,2
2013-04-28,8,1
2013-05-05,6,0
2013-05-12,10,1
2013-05-19,10,2
2013-05-26,5,2
2013-06-02,5,2
2013-06-09,7,2
2013-06-16,9,1
2013-06-23,8,1
2013-06-30,9,2
2013-07-07,9,2
2013-07-14,8,3
2013-07-21,8,1
2013-07-28,8,2
2013-08-04,12,2
2013-08-11,11,1
2013-08-18,7,1
2013-08-25,9,1
2013-09-01,8,1
2013-09-08,6,2
2013-09-15,9,1
2013-09-22,5,1
2013-09-29,6,1
2013-10-06,9,0
2013-10-13,8,1
2013-10-20,9,2
2013-10-27,8,1
2013-11-03,12,1
2013-11-10,8,1
2013-11-17,6,2
2013-11-24,9,2
2013-12-01,8,1
2013-12-08,14,1
2013-12-15,13,1
2013-12-22,5,1
2013-12-29,6,1
2014-01-05,5,2
2014-01-12,6,2
2014-01-19,8,2
2014-01-26,8,1
2014-02-02,7,2
2014-02-09,7,2
2014-02-16,7,0
2014-02-23,5,2
2014-03-02,8,1
2014-03-09,5,2
2014-03-16,8,2
2014-03-23,7,3
2014-03-30,6,1
2014-04-06,10,2
2014-04-13,9,0
2014-04-20,5,0
2014-04-27,10,2
2014-05-04,7,1
2014-05-11,7,0
2014-05-18,5,2
2014-05-25,7,1
2014-06-01,12,2
2014-06-08,12,0
2014-06-15,18,0
2014-06-22,15,2
2014-06-29,13,1
2014-07-06,12,0
2014-07-13,15,2
2014-07-20,11,2
2014-07-27,9,1
2014-08-03,12,2
2014-08-10,11,1
2014-08-17,8,2
2014-08-24,10,1
2014-08-31,6,1
2014-09-07,8,2
2014-09-14,10,1
2014-09-21,9,2
2014-09-28,7,1
2014-10-05,7,1
2014-10-12,11,2
2014-10-19,14,1
2014-10-26,7,1
2014-11-02,12,1
2014-11-09,8,2
2014-11-16,12,2
2014-11-23,12,2
2014-11-30,8,2
2014-12-07,14,1
2014-12-14,12,2
2014-12-21,11,1
2014-12-28,5,0
2015-01-04,10,1
2015-01-11,8,1
2015-01-18,12,1
2015-01-25,8,2
2015-02-01,9,1
2015-02-08,8,0
2015-02-15,9,2
2015-02-22,7,1
2015-03-01,6,1
2015-03-08,11,1
2015-03-15,9,2
2015-03-22,9,2
2015-03-29,8,1
2015-04-05,10,1
2015-04-12,8,1
2015-04-19,11,1
2015-04-26,14,1
2015-05-03,12,1
2015-05-10,10,3
2015-05-17,8,3
2015-05-24,11,2
2015-05-31,10,2
2015-06-07,5,1
2015-06-14,12,2
2015-06-21,9,3
2015-06-28,5,1
2015-07-05,7,2
2015-07-12,8,2
2015-07-19,10,2
2015-07-26,11,3
2015-08-02,13,2
2015-08-09,11,2
2015-08-16,10,3
2015-08-23,9,2
2015-08-30,11,3
2015-09-06,9,2
2015-09-13,10,2
2015-09-20,8,2
2015-09-27,8,1
2015-10-04,8,1
2015-10-11,7,2
2015-10-18,9,1
2015-10-25,12,2
2015-11-01,12,1
2015-11-08,9,3
2015-11-15,8,1
2015-11-22,15,4
2015-11-29,13,1
2015-12-06,9,2
2015-12-13,17,2
2015-12-20,11,2
2015-12-27,6,1
2016-01-03,9,3
2016-01-10,8,0
2016-01-17,8,1
2016-01-24,10,1
2016-01-31,12,2
2016-02-07,12,1
2016-02-14,14,3
2016-02-21,9,2
2016-02-28,10,2
2016-03-06,13,1
2016-03-13,10,2
2016-03-20,11,1
2016-03-27,10,2
2016-04-03,11,2
2016-04-10,9,1
2016-04-17,14,1
2016-04-24,12,2
2016-05-01,19,1
2016-05-08,12,3
2016-05-15,12,2
2016-05-22,14,5
2016-05-29,14,1
2016-06-05,10,2
2016-06-12,10,1
2016-06-19,8,2
2016-06-26,10,2
2016-07-03,11,3
2016-07-10,11,2
2016-07-17,14,3
2016-07-24,13,2
2016-07-31,10,2
2016-08-07,9,3
2016-08-14,12,1
2016-08-21,11,3
2016-08-28,13,2
2016-09-04,10,3
2016-09-11,11,3
2016-09-18,14,2
2016-09-25,8,2
2016-10-02,8,1
2016-10-09,10,2
2016-10-16,12,3
2016-10-23,8,1
2016-10-30,15,2
2016-11-06,13,2
2016-11-13,17,2
2016-11-20,14,3
2016-11-27,18,4
2016-12-04,15,6
2016-12-11,13,3
2016-12-18,17,4
2016-12-25,11,2
2017-01-01,12,2
2017-01-08,10,3
2017-01-15,12,3
2017-01-22,11,2
2017-01-29,15,3
2017-02-05,12,3
2017-02-12,14,3
2017-02-19,18,4
2017-02-26,20,4
2017-03-05,22,3
2017-03-12,16,4
2017-03-19,15,4
2017-03-26,22,4
2017-04-02,19,4
2017-04-09,16,3
2017-04-16,16,2
2017-04-23,18,3
2017-04-30,17,4
2017-05-07,16,6
2017-05-14,24,7
2017-05-21,35,10
2017-05-28,100,51
2017-06-04,98,34
2017-06-11,73,23
2017-06-18,68,20
2017-06-25,66,16
2017-07-02,81,16
2017-07-09,68,17
2017-07-16,61,15
2017-07-23,58,16
2017-07-30,55,15
2017-08-06,49,15
2017-08-13,52,13
2017-08-20,54,10
